FarmName,PlantName,HarvestDate,Quantity,MeasurementType,MeasurementValue,MeasurementDateTime
Pittstown Farm,Tomatoes,2025-01-05,881.42,Humidity,48.15,2025-01-02 06:21:08
Pittstown Farm,Tomatoes,2025-01-05,881.42,Humidity,10.0,2025-01-01 17:44:09
Pittstown Farm,Tomatoes,2025-01-05,881.42,PH,12.0,2025-01-02 17:23:48
Pittstown Farm,Basil,2025-01-08,468.59,Humidity,48.15,2025-01-02 06:21:08
Pittstown Farm,Basil,2025-01-08,468.59,Humidity,10.0,2025-01-01 17:44:09
Pittstown Farm,Basil,2025-01-08,468.59,PH,12.0,2025-01-02 17:23:48
Pittstown Farm,Kale,2025-01-01,562.97,Humidity,48.15,2025-01-02 06:21:08
Pittstown Farm,Kale,2025-01-01,562.97,Humidity,10.0,2025-01-01 17:44:09
Pittstown Farm,Kale,2025-01-01,562.97,PH,12.0,2025-01-02 17:23:48
Lake Samantha Farm,Spinach,2025-01-05,651.91,Light Intensity,41.98,2025-01-03 13:21:37
Lake Samantha Farm,Spinach,2025-01-05,651.91,PH,12.0,2025-01-01 05:55:05
Lake Samantha Farm,Spinach,2025-01-05,651.91,Humidity,35.73,2025-01-03 21:44:03
South Kayla Fields,Tomatoes,2025-01-02,997.0,PH,7.3,2025-01-10 00:54:24
South Kayla Fields,Tomatoes,2025-01-02,997.0,Humidity,74.17,2025-01-09 09:46:23
South Kayla Fields,Tomatoes,2025-01-02,997.0,Temperature,27.18,2025-01-02 09:37:56
South Kayla Fields,Tomatoes,2025-01-02,997.0,Light Intensity,78.22,2025-01-02 14:20:17
South Kayla Fields,Tomatoes,2025-01-02,997.0,PH,12.0,2025-01-08 08:52:21
Jenniferport Plantation,Kale,2025-01-03,363.7,Light Intensity,22.69,2025-01-09 18:51:01
Jenniferport Plantation,Cucumbers,2025-01-05,734.68,Light Intensity,22.69,2025-01-09 18:51:01
Medinahaven Plantation,Eggplant,2025-01-09,739.0,Light Intensity,38.93,2025-01-04 19:53:53
Medinahaven Plantation,Eggplant,2025-01-09,739.0,Humidity,84.05,2025-01-09 14:21:37
Medinahaven Plantation,Eggplant,2025-01-09,739.0,Humidity,85.41,2025-01-02 05:37:19
Medinahaven Plantation,Spinach,2025-01-05,692.05,Light Intensity,38.93,2025-01-04 19:53:53
Medinahaven Plantation,Spinach,2025-01-05,692.05,Humidity,84.05,2025-01-09 14:21:37
Medinahaven Plantation,Spinach,2025-01-05,692.05,Humidity,85.41,2025-01-02 05:37:19
Medinahaven Plantation,Eggplant,2025-01-01,164.54,Light Intensity,38.93,2025-01-04 19:53:53
Medinahaven Plantation,Eggplant,2025-01-01,164.54,Humidity,84.05,2025-01-09 14:21:37
Medinahaven Plantation,Eggplant,2025-01-01,164.54,Humidity,85.41,2025-01-02 05:37:19
Rayfort Greenhouse,Eggplant,2025-01-07,641.27,Light Intensity,82.99,2025-01-08 16:50:24
Rayfort Greenhouse,Eggplant,2025-01-07,641.27,Light Intensity,28.51,2025-01-04 07:41:58
Rayfort Greenhouse,Eggplant,2025-01-07,641.27,Light Intensity,30.25,2025-01-08 12:27:48
Rayfort Greenhouse,Eggplant,2025-01-07,641.27,PH,12.0,2025-01-05 08:10:38
Rayfort Greenhouse,Eggplant,2025-01-07,641.27,Temperature,40.0,2025-01-03 19:04:43
Rayfort Greenhouse,Cucumbers,2025-01-07,408.84,Light Intensity,82.99,2025-01-08 16:50:24
Rayfort Greenhouse,Cucumbers,2025-01-07,408.84,Light Intensity,28.51,2025-01-04 07:41:58
Rayfort Greenhouse,Cucumbers,2025-01-07,408.84,Light Intensity,30.25,2025-01-08 12:27:48
Rayfort Greenhouse,Cucumbers,2025-01-07,408.84,PH,12.0,2025-01-05 08:10:38
Rayfort Greenhouse,Cucumbers,2025-01-07,408.84,Temperature,40.0,2025-01-03 19:04:43
North Jeremy Plantation,Cucumbers,2025-01-05,999.34,Temperature,40.0,2025-01-05 16:24:47
North Jeremy Plantation,Cucumbers,2025-01-05,999.34,PH,12.0,2025-01-07 18:25:56
North Jeremy Plantation,Cucumbers,2025-01-05,999.34,Temperature,28.35,2025-01-04 09:31:15
North Jeremy Plantation,Cucumbers,2025-01-05,999.34,PH,12.0,2025-01-04 08:04:23
North Jeremy Plantation,Mint,2025-01-09,569.32,Temperature,40.0,2025-01-05 16:24:47
North Jeremy Plantation,Mint,2025-01-09,569.32,PH,12.0,2025-01-07 18:25:56
North Jeremy Plantation,Mint,2025-01-09,569.32,Temperature,28.35,2025-01-04 09:31:15
North Jeremy Plantation,Mint,2025-01-09,569.32,PH,12.0,2025-01-04 08:04:23
North Jeremy Plantation,Peppers,2025-01-01,897.97,Temperature,40.0,2025-01-05 16:24:47
North Jeremy Plantation,Peppers,2025-01-01,897.97,PH,12.0,2025-01-07 18:25:56
North Jeremy Plantation,Peppers,2025-01-01,897.97,Temperature,28.35,2025-01-04 09:31:15
North Jeremy Plantation,Peppers,2025-01-01,897.97,PH,12.0,2025-01-04 08:04:23
East Daniel Fields,Peppers,2025-01-05,446.47,PH,12.0,2025-01-02 07:57:27
East Daniel Fields,Peppers,2025-01-05,446.47,Temperature,40.0,2025-01-01 13:56:00
East Daniel Fields,Peppers,2025-01-05,446.47,Temperature,40.0,2025-01-01 22:02:06
East Daniel Fields,Kale,2025-01-05,517.91,PH,12.0,2025-01-02 07:57:27
East Daniel Fields,Kale,2025-01-05,517.91,Temperature,40.0,2025-01-01 13:56:00
East Daniel Fields,Kale,2025-01-05,517.91,Temperature,40.0,2025-01-01 22:02:06
Kleinport Farm,Peppers,2025-01-07,978.23,Humidity,64.49,2025-01-09 06:05:07
Kleinport Farm,Basil,2025-01-09,403.56,Humidity,64.49,2025-01-09 06:05:07
Kleinport Farm,Strawberries,2025-01-03,336.18,Humidity,64.49,2025-01-09 06:05:07
Kleinport Farm,Peppers,2025-01-06,816.21,Humidity,64.49,2025-01-09 06:05:07
Dianaside Greenhouse,Kale,2025-01-04,392.44,Light Intensity,64.65,2025-01-03 05:59:41
Dianaside Greenhouse,Kale,2025-01-04,392.44,Light Intensity,10.0,2025-01-03 16:11:06
