SystemName,FarmName
System_1,Harvest Central
System_2,Eco Paradise
System_3,Green Thumb Co.
System_4,Nature's Basket
System_5,Sprout Space
System_6,Hydro Haven
System_7,Hydro Haven
System_8,Hydro Haven
System_9,Green Thumb Co.
System_10,Hydro Growers
System_11,Eco Paradise
System_12,Eco Paradise
System_13,Green Fields
System_14,Eco Paradise
System_15,Hydro Growers
System_16,Green Thumb Co.
System_17,Harvest Central
System_18,Nature's Basket
System_19,Blooming Farm
System_20,Nature's Basket
System_21,Future AgriTech
System_22,Eco Paradise
System_23,Blooming Farm
System_24,Harvest Central
System_25,Blooming Farm
System_26,Hydro Haven
System_27,Green Valley
System_28,Future AgriTech
System_29,Hydro Haven
System_30,Future AgriTech
