SensorType,SystemID
Light Intensity,7
Temperature,19
pH,22
Temperature,1
Temperature,16
CO2,16
CO2,6
CO2,23
pH,8
Temperature,23
Humidity,29
Humidity,27
CO2,4
pH,5
pH,5
CO2,10
Humidity,19
pH,15
pH,5
CO2,6
Light Intensity,25
CO2,29
pH,11
Humidity,8
pH,20
Humidity,26
pH,14
Light Intensity,24
Temperature,11
CO2,11
Humidity,24
CO2,9
Temperature,25
pH,24
Light Intensity,3
Humidity,21
pH,30
CO2,26
Light Intensity,2
Light Intensity,10
Humidity,16
Light Intensity,20
Humidity,28
Temperature,9
CO2,1
Light Intensity,24
Temperature,3
pH,7
Humidity,24
Temperature,30
